"Facility Name","Type","County","Address","Website","Phone","Services","CCW Price","Basic Price","Lane Fee","Private Lesson","Confidence","Needs Verification","Source URL","Date Accessed","Notes"
"Shotgun Range","gun club","Union","Union, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/1324364834","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Courses
                Browse training","gun club","Union","Union, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Union, New Jersey"
"iPatriot","retailer","Union","Union, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/9137518095","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Retailer in Union","retailer","Union","Union, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/node/12351229280","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Brushy Fork Armory","retailer","Union","Union, New Jersey","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1216898897","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"J&J Ohio Trading Post","retailer","Union","27 North Franklin Street, Richwood, New Jersey, 43344","","","retailer","","","","","80","No","https://www.openstreetmap.org/way/1474233072","6/18/2026","Auto-collected via OpenStreetMap Overpass — Union, New Jersey"
"Courses
                Browse training","retailer","Union","Union, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Union, New Jersey"
"Dunham's Bay Fish and Game Club","range","Warren","Warren, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/1967750261","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Banner Shooting Range","range","Warren","Warren, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/node/9448234769","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Range in Warren","range","Warren","Warren, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/186076366","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Field Sports Area","range","Warren","Warren, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/231284290","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Reifsnider Shooting Range","range","Warren","Warren, New Jersey","","","range","","","","","80","No","https://www.openstreetmap.org/way/556378854","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Frontline Defense Firearms Training Center and Range","range","Warren","1060 Ernest Turner Road, Wendell, New Jersey, 27591","","","range","","","","","80","No","https://www.openstreetmap.org/way/964169955","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Courses
                Browse training","range","Warren","Warren, New Jersey","","","range","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Warren, New Jersey"
"Courses
                Browse training","private instructor","Warren","Warren, New Jersey","","","private instructor","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Warren, New Jersey"
"Dunham's Bay Fish and Game Club","gun club","Warren","Warren, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/node/1967750261","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Gun club in Warren","gun club","Warren","Warren, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/186076366","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Field Sports Area","gun club","Warren","Warren, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/231284290","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Reifsnider Shooting Range","gun club","Warren","Warren, New Jersey","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/556378854","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Frontline Defense Firearms Training Center and Range","gun club","Warren","1060 Ernest Turner Road, Wendell, New Jersey, 27591","","","gun club","","","","","80","No","https://www.openstreetmap.org/way/964169955","6/18/2026","Auto-collected via OpenStreetMap Overpass — Warren, New Jersey"
"Courses
                Browse training","gun club","Warren","Warren, New Jersey","","","gun club","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Warren, New Jersey"
"Courses
                Browse training","retailer","Warren","Warren, New Jersey","","","retailer","","","","","55","Yes","https://www.tacticalcoursedirectory.com/courses","6/18/2026","Auto-collected via Tactical Course Directory — Warren, New Jersey"
